video_code,points
C000041,"[1779.7320555233791, 376.79907639193806, 1723.8532198807777, 421.087067122691, 1650.6326766249554, 467.30062266782477, 1596.6806973838227, 496.1840948835334, 1662.1938150337692, 523.1420022848615, 1849.0988859762633, 540.4720856142866, 1914.6120036262096, 548.1743448718088, 1918.463994514266, 436.4915856377358]"
C000041,"[1274.1271668242512, 327.29793061812325, 1311.7394037809263, 328.53029209932686, 1480.6861730617293, 292.79180914442344, 1419.643362263191, 275.53874840757356, 1274.1271668242512, 285.397640257202]"
C000042,"[1205.3246852783348, 1078.4571249487717, 1465.979718137558, 616.4248030634706, 1643.3485274796328, 217.5701877312789, 1728.1770884693206, 222.1901253606093, 1762.108512865196, 320.74879478632465, 1854.648761217583, 479.36665339333524, 1918.4794109217337, 651.8443248883368, 1918.4794109217337, 1078.4571249487717]"
C000043,"[1828.6244178652853, 370.35449089388584, 1825.8717658631863, 356.60045650545317, 1795.6270992464324, 338.96419160761536, 1753.7522834082035, 309.2865782092449, 1581.9999018107935, 278.14908126740545, 1482.1116659586396, 286.77561163583044, 1456.8313099713664, 294.7859612636536, 1393.3221229789478, 305.8772145944857, 1340.2950348105205, 324.36263681253917, 1326.7299657441788, 331.75680569976055, 1308.2321442900763, 382.2836264291068, 1283.7922938468944, 535.0811068344148, 1120.0094997220285, 1078.4571373469191, 1918.463994514266, 1078.4571373469191, 1918.463994514266, 798.8834864045529, 1778.9943890244306, 587.0713568226903, 1794.4092402361823, 511.974329061848, 1780.845209661494, 490.50627647194864, 1791.1217771359957, 467.3994986993818, 1809.9063842510145, 427.5712739497656, 1825.321235462767, 379.15707290248275]"
C000044,"[1160.0877684896075, 1078.4571373469191, 1309.673570412971, 435.6269425891262, 1335.8788174729495, 410.97971296505483, 1428.3679247434623, 375.5493203804524, 1525.4814873775003, 361.6852537169123, 1653.4247524350428, 360.14480186540777, 1742.830889463205, 355.5234463108945, 1668.7390576853247, 422.61774710642186, 1557.4095767115596, 461.1290433940332, 1689.2921926343274, 728.9965042389748, 1826.0710860066663, 1078.4571373469191]"
C000045,"[1166.940793447001, 1078.4571373469191, 1273.3602948057523, 577.1649210042054, 1385.9490426200828, 380.04978488904453, 1456.8953768592498, 350.79050687195047, 1628.0919660015882, 341.55073486655226, 1742.2230254298142, 346.1706208692512, 1685.1574957157015, 420.0887969124365, 1574.1110595152654, 467.82761894032734, 1723.7152860630747, 765.0402851139684, 1845.557903560775, 1077.6525712966065]"
C000046,"[1918.463994514266, 342.13890973308776, 1918.463994514266, 1079.6302336408464, 1215.9666041322084, 1078.4571373469191, 1410.5791006805791, 578.983381901898, 1461.434369716655, 384.5012334976051, 1564.2000444616692, 330.5854186949491, 1711.1686993097446, 322.88326158928203]"
C000047,"[1223.6704186422805, 1070.407233021039, 1388.6986840443542, 653.075456584601, 1468.899336389287, 386.6607063133695, 1559.8962303960382, 325.0619201234893, 1689.4511303378529, 318.90204150450126, 1914.629884998626, 342.00158632570634, 1908.460604049016, 428.2398869915386, 1711.0436136614883, 428.2398869915386, 1825.175311229278, 683.8748496795412, 1914.629884998626, 982.62896270046, 1914.629884998626, 1070.407233021039]"
C000048,"[1012.9778294484677, 1078.4571373469191, 1109.3751172661132, 504.3423164656446, 1172.115318522444, 450.2680582441845, 1295.5009375146487, 380.9368753121943, 1350.5708847872577, 371.40126944385935, 1383.6206041601697, 362.157111719594, 1441.7881102564947, 360.39631977211485, 1509.2095377772353, 362.5973097064637, 1918.463994514266, 398.85065100108375, 1918.463994514266, 1078.4571373469191]"
C000049,"[1109.989502051413, 596.3134652313231, 1088.7940816352539, 744.5819559386272, 1032.9152459926524, 1078.4571373469191, 1918.463994514266, 1078.4571373469191, 1917.3423342669287, 394.1291597213632, 1828.7069397993541, 384.5013356494604, 1570.5081820025068, 365.24568750565464, 1432.3800676207281, 355.7480045398678, 1372.43342401947, 357.45961770820605, 1334.752676612965, 372.0083296390815, 1313.343161041087, 373.7199428074197]"
C000050,"[0.6104703820526391, 937.9698427127968, 267.431871452695, 803.9924827498074, 440.1717380417814, 771.6531200001205, 636.046408191906, 708.5143641554932, 736.2972236230722, 697.7345765722642, 884.3599664137178, 703.8944551912522, 1092.573198463063, 677.7149710605531, 1320.8365935986417, 683.8748496795412, 1723.382175560709, 813.2323006782894, 1911.5452445238207, 864.0512992849406, 1918.463994514266, 1078.107081294774, 1.542862653080904, 1078.4571373469191]"
C000050,"[1567.176163710877, 182.3501430025248, 1452.3326260335175, 177.61177483407246, 1336.539968210064, 217.41406744907195, 1294.7786817819333, 243.0012555587145, 1317.0830052151393, 250.58264462823817, 1372.6065337616315, 267.6407700346665, 1413.8932601167153, 283.7512218074044, 1468.9422285901605, 285.64656907478536, 1547.2446406429058, 293.70179496115423, 1912.298962008215, 334.85114841267557, 1918.463994514266, 290.5770208386992, 1769.638360841101, 282.6017857954095, 1552.3723795722192, 237.74180020060547]"
C000051,"[1.9186058895331783, 934.8878217703805, 220.09803842510175, 831.7960440158513, 309.0298723390557, 811.6516736500237, 510.60869587735226, 757.1433773660199, 605.4693187189035, 720.4095255224521, 708.6302460590908, 703.8200440447117, 799.9335955440838, 705.0050070074076, 986.0975678706283, 684.86063664158, 1059.6145505728305, 671.8260440519269, 1346.6692133211761, 688.2610462358571, 1918.463994514266, 865.4130091588696, 1918.463994514266, 1078.4571373469191, 0.9527025352185751, 1078.4571373469191]"
C000060,"[1495.507757329238, 540.7221228923136, 1488.1086287475969, 506.8321821592155, 1382.6710464592127, 498.20565179079057, 1390.4703324713732, 376.85997921974007, 1401.8639181496249, 362.12522237926265, 1448.108471784881, 350.73927391162107, 1494.8599993513956, 345.6193601927739, 1527.8635715326418, 340.69284879311374, 1555.6630235755288, 341.34032727192823, 1617.322428422537, 326.79161534105276, 1917.0187081560034, 327.79531298381426, 1918.463994514266, 518.8113425703668, 1918.463994514266, 1078.4571373469191, 1645.7173268291665, 557.3226388579783]"
C000061,"[1155.5250582954502, 1075.7643601087568, 1362.0840645329283, 1078.4571373469191, 1647.2588119503416, 687.5704935296337, 1745.9138597055555, 558.1725380032594, 1809.114749673739, 542.7680194882148, 1881.5645503689736, 545.8489231912237, 1884.647520611324, 521.2016935671523, 1653.4247524350428, 476.5285898735232, 1553.2282195586542, 467.2858787644963, 1399.0797074411332, 490.3926565370632, 1331.254362109424, 510.4185306066212, 1298.8831745647446, 519.6612417156479]"
C000062,"[1177.1058499919031, 1078.381080329755, 1256.012485604102, 741.5022576364063, 1319.5987468525793, 751.1300817083091, 1329.2330288599244, 668.3307946899446, 1203.2021522877399, 650.3316186362368, 1218.7259482636337, 608.5432656208956, 1226.43337386951, 588.1316758880674, 1242.8168892073656, 547.8102925847353, 1267.6519272707442, 522.1360950596611, 1306.1890553001244, 502.4525436237708, 1415.7824838731017, 481.0788501036616, 1521.973681109616, 472.5207842619701, 1687.3374251008972, 474.5239545400079, 1750.627307417272, 493.91594886619873, 1918.851087709442, 514.2856095394991, 1918.851087709442, 533.5412576833048, 1820.9995141934783, 541.9697487689041, 1735.002384198746, 553.322810348992, 1579.9974914583497, 780.967361737984, 1366.2614034467915, 1078.4571373469191]"
C000063,"[1388.2893115929069, 1071.833557260467, 1901.6038569442517, 1062.59084615144, 1627.219505375064, 571.1867055215184, 1650.3417821926923, 474.13823887673766, 1605.6387136786113, 472.5977870252331, 1513.1496064080986, 467.97643147071983, 1479.2369337422442, 467.97643147071983, 1394.4552520776076, 492.6236610947911, 1355.9181240482274, 508.02817960983566, 1326.6299067458983, 540.3776684914293, 1417.577528895236, 731.3936980779819]"
C000064,"[1679.790615795818, 490.30031426433123, 1556.4049968036136, 473.35269176984474, 1487.0005861204986, 474.8933847238889, 1350.6387503978706, 502.26590301841793, 1325.05696119323, 533.4397169775696, 1277.2450338337508, 685.968319427948, 1227.890786236869, 863.1480091430341, 1164.655656503364, 1078.4571373469191, 1918.463994514266, 1075.7636368011374, 1776.9567907521791, 830.7934571081053, 1627.3517277241313, 576.5791196908079, 1658.1981324721824, 544.2245676558791]"
C000064,"[1.542862653080904, 359.55218781108124, 93.39193937540963, 340.5898129920754, 145.59354741057308, 340.5898129920754, 212.03195763714476, 327.55318030400883, 239.31916183734384, 319.2571413206938, 276.09756749848174, 309.77595391119087, 298.63917096821143, 293.1838759445607, 277.2839676810991, 268.2957589946155, 238.13276165472652, 255.25912630654898, 188.30395398479774, 238.66704833991884, 92.20553919279229, 236.29675148754313, 0.8527251312562136, 228.00071250422803]"
C000065,"[1346.5045807867707, 1078.4571373469191, 1440.715777321756, 587.4568207381917, 1478.9384962486888, 535.8771001027981, 1539.2901577122673, 491.6659109867464, 1567.4542663952702, 487.6467119761962, 1624.4530577775388, 460.8520519058618, 1764.2121442888447, 427.46533179396175, 1827.6186429376164, 419.7618670237406, 1918.463994514266, 411.94599868570054, 1919.09096892247, 637.2723432146688, 1918.463994514266, 1078.4571373469191]"
C000065,"[2.0391253138735963, 500.87172964411377, 96.95113992326169, 475.9836126941686, 122.64465107555534, 477.78097162065046, 163.38955014983335, 460.5766831537263, 185.9899465403032, 448.6178549905277, 214.40475800237948, 440.42915990853254, 227.45516001117036, 436.87371462996896, 244.37778409911428, 421.65572829475366, 223.44629516293674, 412.85176855735807, 37.631130792394124, 418.7450531942048, 2.1925397008443838e-14, 468.87272213704136]"
C000067,"[1773.8905970491494, 526.9730374224903, 1618.3174252763697, 508.89513277980814, 1452.6856432596603, 470.7306674230346, 1480.8497519426637, 369.62831182877466, 1497.6141023492135, 291.96027706762146, 1548.5777275851237, 280.5778926629697, 1674.6456426423763, 287.94296492480316, 1789.9843734394371, 295.9775892104397, 1865.7592372770412, 320.0814620673494, 1912.6994184153796, 321.4205661149554, 1916.7228625129515, 395.74084075709345, 1786.631503358127, 365.6109996859565, 1731.6444340246449, 394.4017367094873]"
C000067,"[1350.1406781092903, 925.6500854748207, 1495.8724979095246, 873.8405275741268, 1789.701945769019, 919.4902068558328, 1918.463994514266, 945.0641241061755, 1918.463994514266, 1078.4571373469191, 1534.4305038445887, 1078.4571373469191, 1551.7816065153672, 997.0380999538871]"
C000068,"[1038.8673159007647, 1078.4571249487717, 1204.3075990551702, 633.6666265766473, 1240.2850058773117, 530.939787312907, 1253.9906846666988, 496.6975075583269, 1273.6925979264433, 470.1597407485274, 1296.8209308835344, 444.4780309325924, 1327.6587081596556, 426.5008340614378, 1403.8965464256223, 391.4024973129932, 1469.8551255995487, 367.4329014847871, 1500.689784818379, 349.3492640896273, 1523.81811777547, 339.4434617320523, 1544.7437523556953, 334.4905605532648, 1567.872085312786, 330.63830408087455, 1597.0578388062584, 326.78604760848435, 1620.1861717633492, 326.2357252552857, 1638.3584333724918, 325.6854029020871, 1660.3937300644657, 334.45058313425335, 1673.345596520437, 335.0669441698357, 1741.8054620734265, 346.16144281031967, 1810.2653276264161, 360.9541076642983, 1894.5096540429558, 380.3219480379031, 1915.8588844648857, 380.3219480379031, 1918.4794109217337, 1078.4571249487717]"
C000068,"[1.2517064775231248, 562.4241800471791, 252.38108140271507, 436.10048744279914, 386.45837390759067, 376.47425682667165, 429.3631075091509, 365.7549344687161, 465.3732665532806, 348.42814711122014, 491.9080981629664, 333.37747066095125, 520.9529814114062, 317.6100953320981, 546.4120766044832, 302.20106944253706, 564.9864118432396, 290.8053683189131, 584.7691368882986, 276.26855144196867, 600.1880255263592, 263.7668889277965, 608.9156983403559, 253.88185345147437, 606.2973964961568, 246.90418135054105, 596.4060339736274, 243.41534530007442, 581.5689901898331, 241.6709272748411, 556.549661456376, 239.92650924960776, 521.3480477732564, 240.79871826222444, 434.13096643824815, 239.99586421955416, 321.4724234990133, 241.7491463773447, 274.29470967175376, 253.87716321685133, 279.7129334375989, 266.4677920751822, 233.45626752341687, 278.9876256104505, 142.25518990450212, 300.48576861199825, 127.64782172107623, 289.94275089808804, 106.95405012788953, 295.21425975504314, 120.75500360933145, 332.2118493490053, 145.53536034907185, 338.26539523419, 145.90703195035863, 350.7678530937237, 0.3857187628070683, 465.8935115533372]"
C000080,"[648.7240911783007, 1073.0326852939074, 907.8324423126506, 785.0597911256644, 1080.5713430688843, 589.4846170114032, 1162.313858605316, 489.38708695292297, 1196.2447141110047, 450.88803693043064, 1276.4449180335419, 443.1882269259322, 1273.360294805752, 484.7672009502239, 1247.140997369538, 746.5607411031721, 1208.5832070221643, 1078.4571373469191]"
C000084,"[639.901594315757, 1070.7189073683023, 1069.741758346845, 585.5676040891251, 1189.2488891536943, 450.80335317824256, 1229.7271108785953, 443.1025388404778, 1281.7705388106103, 435.401724502713, 1258.6401263963814, 631.7724901157134, 1204.669164096514, 1070.7189073683023]"
C000084,"[494.29645762280745, 417.3175191138517, 531.2116612737991, 451.3877886082047, 595.6964473983161, 455.12151677196937, 633.5462131670544, 451.3877886082047, 725.1333007062235, 428.05198758467515, 594.7618852805696, 423.38482737996935]"
C000087,"[1541.2444334449895, 1075.4668523584537, 1581.3371482963196, 530.2491972447118, 1582.8791757906017, 454.7812167346175, 1672.3167704589537, 451.70089099951167, 1843.4818223242478, 454.7812167346175, 1811.099244944327, 499.4459398936529, 1912.873059566935, 625.7392950329943, 1914.4150870612166, 1075.4668523584537]"
C000089,"[1840.7555054878096, 554.7643467380663, 1705.8280997381412, 547.0635324003016, 1594.031106402701, 579.7919933358015, 1563.1905565170625, 1003.336781912861, 1464.8863037565895, 1026.4392249261552, 1445.6109600780653, 1070.7189073683023, 1846.5381085913668, 1074.5693145371847, 1707.7556341059935, 691.4538012333899, 1717.3933059452556, 664.5009510512134, 1754.0164589344513, 643.3237116223605]"
C000089,"[519.6027827196339, 682.0815879161476, 484.44455585000594, 698.0992817386982, 507.2665627653784, 703.6438680618888, 544.2752226281448, 714.1169755612489, 639.8809272736245, 710.4205846791217, 697.861161058625, 682.6976530631687, 751.5237178596361, 663.5996335055122, 802.1022196720834, 653.1265260061523, 913.745010258095, 608.7698354206275, 955.0713471048508, 584.7432946868015, 891.5398143404354, 534.2259526310651, 809.5039516446366, 532.3777571900015, 805.80308565836, 557.0203630708486, 769.4112367933064, 584.1272295397804, 745.3556078825084, 608.1537702736063, 649.7499032370288, 627.2517898312628]"
C000091,"[1411.7141239253074, 1075.4668523584537, 1553.580653399245, 571.8335946686412, 1573.62701082491, 494.82545129099407, 1607.5516156991127, 462.48203107238226, 1707.7834028274378, 459.4017053372764, 1733.9978702302308, 474.80333401280586, 1815.7253274271727, 782.8359075233944, 1872.780344715604, 1070.8463637557948]"
C000091,"[2.300994151623798, 508.6869170989706, 0.7589666573419297, 625.7392950329943, 640.7003767843427, 444.0000766617469, 782.5669062582803, 417.8173079133469, 944.4797931578828, 379.3132362245233, 979.9464255263673, 353.13046747612333, 989.1985904920589, 331.5681873303821, 949.1058756407288, 300.7649299793232, 797.9871812010995, 328.4878615952762]"
C000092,"[1411.7141239253074, 1075.4668523584537, 1553.580653399245, 571.8335946686412, 1573.62701082491, 494.82545129099407, 1607.5516156991127, 462.48203107238226, 1707.7834028274378, 459.4017053372764, 1733.9978702302308, 474.80333401280586, 1815.7253274271727, 782.8359075233944, 1872.780344715604, 1070.8463637557948]"
C000092,"[2.300994151623798, 508.6869170989706, 0.7589666573419297, 625.7392950329943, 640.7003767843427, 444.0000766617469, 782.5669062582803, 417.8173079133469, 944.4797931578828, 379.3132362245233, 979.9464255263673, 353.13046747612333, 989.1985904920589, 331.5681873303821, 949.1058756407288, 300.7649299793232, 797.9871812010995, 328.4878615952762]"
C000101,"[1918.463994514266, 324.71440928080534, 1756.7042555537816, 323.17395742930086, 1676.5470292526707, 326.25486113230977, 1642.6343565868167, 377.08977223195683, 1432.992380106988, 800.7140313956825, 1251.0971358083132, 1071.833557260467, 1913.9357379136532, 1077.9953646664846, 1915.4772230348283, 363.22570556841674]"
C000102,"[1209.4770375365827, 1062.59084615144, 1360.5425794117532, 800.7140313956825, 1479.2369337422442, 600.4552907001031, 1605.6387136786113, 355.5234463108945, 1679.6299994950214, 346.2807352018677, 1796.7828687043373, 360.14480186540777, 1892.3549462172002, 364.76615741992117, 1917.0187081560034, 378.63022408346126, 1915.4772230348283, 1073.3740091119712]"
C000103,"[2.3723582865226858, 490.9065125804672, 808.2241688034904, 302.99819230541243, 851.8836955238093, 301.1019548235119, 1008.4885196292995, 267.9177988902516, 1060.690127664463, 249.903542812196, 1078.7234104402467, 231.88928673414043, 1068.283088833214, 211.9787931741843, 1024.6235621128956, 199.65324954183046, 935.4062683800706, 183.5352309456755, 775.4793405713577, 237.1529306614157, 699.0753520026943, 248.95542407124572, 701.7489097101624, 258.94809927960233, 505.4548421995425, 297.30947985971073, 496.9127608846976, 288.77641119115805, 8.770158803377535e-14, 396.53906914525834]"
C000104,"[1796.1531577211717, 462.670203767384, 1919.2691906683979, 673.3360578065461, 1918.463994514266, 1078.4571373469191, 1233.3083117454296, 1078.4571373469191, 1373.9688290526678, 810.0511596275664, 1483.7996439364015, 578.983381901898, 1535.8247667760647, 436.4915856377357, 1807.511519383195, 430.71489119459403, 1846.8019545597856, 461.5698810163095]"
C000105,"[1500.124250349654, 381.5080610930598, 1420.0431610809853, 603.9516379853369, 1304.3691432757937, 882.8170626673419, 1204.1183278446276, 1078.4571373469191, 1762.438253784353, 1078.4571373469191, 1693.9767333949378, 688.5586315590301, 1640.594955029551, 440.6381848566489, 1680.4161677563666, 368.4918619985482]"
C000105,"[1.542862653080904, 559.1390866847515, 292.8522461644122, 459.6315406220135, 614.2463816290838, 369.7317293578015, 800.9772960860363, 317.4582184170152, 826.8662429281507, 310.3050011303813, 864.8734202069994, 296.54881404070073, 856.0601617075562, 265.18470747622894, 821.3579563659986, 242.62456064915276, 793.8165235552387, 239.87332323121666, 786.104922368226, 286.64435933613066, 629.6695840031093, 321.860198285713, 255.29495957812804, 419.4465539207524, 1.542862653080904, 487.09606719410624]"
C000106,"[1605.1915972289491, 338.2877801043266, 1474.1653619290564, 600.1645948600843, 1208.2591785263328, 1066.1512799401821, 1913.488621463991, 1071.9279743833242, 1919.2691906683979, 396.05472453574373, 1778.6086733611605, 361.3945578768934, 1728.5104069229656, 347.91560417622946]"
C000106,"[156.19558332425225, 265.1163171578649, 146.5613013169072, 320.9576967749015, 545.4205764209926, 251.63736345720088, 811.3267598237164, 201.57267828330612, 899.9621542912906, 176.54033569635865, 803.6193342178401, 139.95460422312783, 761.2284933855218, 143.80573385188896, 741.9599293708318, 172.6892060675975, 632.1291144870981, 180.3914653251198]"
C000107,"[2.695999279176476, 501.88574975297854, 571.451382966665, 351.93526062399906, 815.9797804683045, 302.1722391877916, 848.267605998975, 301.5962792049714, 1012.5895752175653, 265.88676027011445, 1044.1609772102588, 258.2236885614657, 1083.3676224975015, 244.4006489737792, 1097.2052620106463, 219.05840972968724, 1044.3008324351879, 196.19560234886157, 908.8072788689817, 169.70144313912908, 773.8902936158236, 230.17724133525763, 771.5840203636327, 238.8166410775617, 701.2426861718151, 249.18392076832657, 699.5129812326721, 257.82332051063065, 561.1365861012277, 284.31747972036317, 2.695999279176476, 392.1113767773274]"
C000108,"[1808.1789448236784, 472.50384898816077, 1840.5609792811956, 426.29947928945546, 1595.3827183885662, 432.46006191594955, 1533.7026527552002, 434.00020757257306, 1473.5645887626686, 584.9344819216767, 1368.7084771859465, 819.03662172845, 1236.0963360742098, 1078.4571373469191, 1919.2030629637372, 1078.4571373469191, 1911.4930547595668, 591.0950645481709]"
C000109,"[1495.3607823452155, 386.4269004638408, 1435.628233899676, 565.504428201234, 1233.3083117454296, 1079.6302336408464, 1745.852114536187, 1066.1512799401821, 1736.2178325288419, 969.8730392211538, 1668.7778584774264, 611.7179837463676, 1630.240730448046, 434.56602082335525, 1620.6064484407011, 374.8735115775575]"
C000109,"[5.900784009669297, 486.55627081163055, 2.047071206731327, 557.8021689437116, 400.9063463108167, 424.9381967514524, 568.74661962345, 373.5324360181406, 619.2730763730818, 376.099855770648, 816.2406196343584, 312.77016854213144, 863.3415538924899, 297.3656500270869, 854.7777476637389, 268.26822616533605, 833.3682320918609, 245.16144839276913, 790.5492009481052, 241.73822205609258, 785.4109172108543, 287.09597101705714, 632.1187857162085, 322.184040967992, 396.61411442555163, 382.9463084440011]"
C000110,"[1198.8865609929567, 1078.4571249487717, 1362.726982260412, 710.7058370778017, 1445.6984162755416, 502.24266386436676, 1487.9365606841336, 381.70817857761466, 1517.4362170964837, 371.663638137052, 1644.6988837270637, 364.85774944019073, 1681.4703085907097, 361.3035274381455, 1727.0309777845175, 768.4619446110371, 1784.8570088200897, 1078.4571249487717]"
